Date,AAPL,MMM,INTC,JPM,DE,WFC,BK,PM,HD,GE
2018-02-01,167.78,,47.65,116.87,167.85,65.51,57.5,105.17,199.9,16.02
2018-02-02,160.37,,46.15,114.28,164.96,64.07,56.33,103.44,193.97,15.64
2018-02-05,157.49,,44.88,108.8,157.02,58.16,54.38,98.69,183.11,14.91
2018-02-06,163.03,,44.91,112.11,161.88,57.28,55.49,100.33,191.04,15.27
2018-02-07,159.54,,45.2,112.87,161.44,57.54,55.34,98.88,191.29,15.25
2018-02-08,155.32,,42.75,107.88,153.66,55.4,53.29,100.39,181.22,14.45
2018-02-09,155.97,,43.87,110.04,154.93,56.13,54.08,99.94,184.12,14.94
2018-02-12,162.71,,44.83,111.74,159.21,56.5,54.61,102.4,184.06,14.82
2018-02-13,164.34,,44.46,112.43,161.3,58.0,54.81,103.05,183.72,14.67
2018-02-14,167.37,,45.38,115.03,163.28,59.55,55.98,102.54,184.69,14.9
2018-02-15,172.99,,45.92,115.51,166.81,60.02,56.16,103.69,185.27,14.85
2018-02-16,172.43,,45.56,114.68,169.44,59.95,56.25,104.31,186.97,15.05
2018-02-20,171.85,,46.32,114.71,164.77,59.95,56.42,102.85,186.71,14.74
2018-02-21,171.07,,45.94,115.19,162.09,59.73,56.45,103.72,183.06,14.49
2018-02-22,172.6,,45.8,114.98,164.16,58.81,55.9,102.98,185.47,14.62
2018-02-23,175.555,,47.73,117.31,166.24,59.17,56.9,106.11,188.35,14.49
2018-02-26,178.97,,49.11,118.77,167.46,59.97,58.18,106.68,188.46,14.65
2018-02-27,178.39,,49.91,117.36,163.58,59.21,57.99,104.08,184.98,14.5
2018-02-28,178.12,,49.29,115.5,160.87,58.41,57.03,103.55,182.27,14.11
2018-03-01,175.0,231.34,47.84,113.43,156.81,57.31,55.51,104.68,179.64,14.02
2018-03-02,176.21,230.37,48.98,113.32,153.31,57.41,55.37,106.81,178.46,14.12
2018-03-05,176.82,232.81,49.75,115.06,157.54,57.59,56.41,107.7,181.74,14.42
2018-03-06,176.67,233.66,50.71,115.16,158.51,57.07,56.87,107.98,181.64,14.64
2018-03-07,175.03,235.57,51.32,114.73,157.9,56.6,56.9,106.89,178.58,14.51
2018-03-08,176.94,,50.74,114.74,161.06,56.72,55.69,109.0,177.94,14.52
2018-03-09,179.98,,52.19,118.04,167.93,58.23,57.23,108.3,182.16,14.94
2018-03-12,181.72,,51.52,117.66,164.03,58.02,56.44,107.14,179.71,15.1
