Date,AAPL,MMM,INTC,JPM,DE,WFC,BK,PM,HD,GE,Portfolio Value
2017-07-25,1527.4,1993.8999999999999,346.70000000000005,928.0,1279.0,550.6,537.3,1178.1999999999998,1469.7,254.4,10065.199999999999
2017-07-26,1534.6000000000001,1990.3,347.5,919.3000000000001,1278.1999999999998,549.0999999999999,533.9,1176.5,1466.9,255.9,10052.2
2017-07-27,1505.6,2000.5,349.7,915.5,1284.4,547.1,528.6,1181.9,1477.3,257.9,10048.499999999998
2017-07-28,1495.0,1997.2,353.1,912.8,1289.1,533.0,526.5999999999999,1185.1000000000001,1480.8000000000002,255.3,10028.0
2017-07-31,1488.5,2011.6999999999998,354.7,918.0,1282.8,539.4,530.3,1167.1,1496.0,256.1,10044.6
2017-08-01,1500.5,2031.8000000000002,363.5,930.3,1290.2,540.8,537.1,1158.8,1498.5,254.4,10105.9
2017-08-02,1571.3999999999999,2054.1,366.4,931.1,1289.8,536.1999999999999,539.0999999999999,1144.6,1505.0,255.2,10192.900000000001
2017-08-03,1555.6999999999998,2076.2,364.90000000000003,925.0,1295.1,534.0,538.2,1144.8999999999999,1507.8999999999999,257.6,10199.5
2017-08-04,1563.8999999999999,2076.5,363.0,936.5999999999999,1297.5,528.4000000000001,540.2,1147.6000000000001,1527.5,257.8,10239.0
2017-08-07,1546.2082337662346,2074.4,396.123866883117,940.1999999999999,1299.6000000000001,525.4,537.1,1158.6,1533.5,256.3,10267.432100649352
2017-08-08,1600.8000000000002,2064.3,364.09999999999997,936.8000000000001,1320.2,527.1,537.9,1146.7,1533.5,255.6,10287.0
2017-08-09,1610.6,2064.7999999999997,365.90000000000003,935.3,1324.1,527.9,540.4,1154.1,1552.6,257.1,10332.8
2017-08-10,1552.7,2062.2999999999997,361.2,921.9,1277.8,519.5,519.5,1142.2,1538.8,253.0,10148.9
2017-08-11,1574.8,2059.7999999999997,358.7,914.2,1267.0,519.4,521.9,1148.8,1548.8,252.0,10165.4
2017-08-14,1598.5,2073.7,363.40000000000003,924.9,1285.6999999999998,528.4000000000001,528.3,1147.6000000000001,1542.6,253.6,10246.7
2017-08-15,1616.0,2071.8,360.0,927.3000000000001,1271.8000000000002,528.5,531.5,1168.1999999999998,1501.6999999999998,251.4,10228.199999999999
2017-08-16,1609.5,2079.2,358.2,920.9000000000001,1266.3,526.9,528.8000000000001,1177.3,1522.5,251.0,10240.6
2017-08-17,1578.7,2053.5,351.70000000000005,906.5,1239.8,518.0,518.0,1159.3000000000002,1496.6999999999998,247.5,10069.7
